sciper;labAcronyme;siteUrl;doublon;clusters;idSite
172230;GR-GA;https://www.epfl.ch/labs/lqno;;Microscopy spectromicroscopy and imaging|Nanosciences|Quantum photonics|Ultrafast spectroscopy and optics;fz47FgzgwTLJK7PrH
172241;DSLAB;http://dslab.epfl.ch;;Programming languages & formal methods|Security, privacy & cryptography|Systems|Software engineering;qzJixteQ7qq8xzbiL
172749;UPRAD;https://radtke-lab.epfl.ch;;Cancer|Immunity|Molecular and celluar biology|Rodents|Translational research;sJKAyNgyLkdDqhAtm
173996;LPAP;https://www.epfl.ch/labs/lpap;;Elementary particle physics|Plasma and beam physics;99MBkkLfMMPSj6Fom
173997;ALICE;https://www.epfl.ch/labs/alice;;Project and design;rxv46qpY9Cs3mp739
173999;LCE;https://www.epfl.ch/labs/lce;;Atmosphere and climate|Human-environment interactions|Water and waste engineering;bKhSQBcX5Nq5645Eu
174121;DHLAB;https://www.epfl.ch/labs/dhlab;;Digital humanities|Big data and AI|Immersive visualization technologies, aesthetics and cultural (big) data|Tangible and intangible cultural heritage and archives|Communication sciences, computational modelling and creativity|Digital media and aesthetics;zWwgmySmaA5zaJvKd
174228;UPSIM;https://simanis-lab.epfl.ch;;Genetics|Molecular and celluar biology;GwBoctjvQA7mZjxCE
174684;LO;https://www.epfl.ch/labs/lo;;Advanced manufacturing|Energy systems|Future of computing|Imaging and vision|Learning and decision systems|Neural engineering and prosthetics|Optics and photonics|Soft matter and flexible structures;AB6eJtnYbxP7wPPKC
174685;LPTP;https://www.epfl.ch/labs/lptp;;Elementary particle physics|Fundamental interactions and cosmology|Theoretical Physics;mRrpxcFJn5tvTLDnT
174686;CFI;https://www.epfl.ch/labs/cfi;;Asset Pricing and Financial Markets|Financial Institutions and Regulation;xMAKXHPiJ2wh372oY
174688;LCSB;https://www.epfl.ch/labs/lcsb;;Chemical engineering|Computational chemistry|Renewable energy;MAJjqAms4wxd6Dnvq
176402;LTE;https://www.epfl.ch/labs/lte;;Atmosphere and climate|Environmental modeling and monitoring;AHzMfFEKs5oPRPdHJ
176429;LQM;https://www.epfl.ch/labs/lqm;;Magnetism|Strongly correlated electron systems;gRPowrfp6wzsA5AvT
176631;NEMS;https://www.epfl.ch/labs/nems;;Internet of things|Personalized health;WhKN5QzW8nQPaPLX2
176638;NAL;https://www.epfl.ch/labs/nal;;Networking|Systems;rYWzby49Qv2TAy5c2
